HOLLOWAY,56001
WILKINS,55955
ZUNIGA,55865
WEISS,55845
RANGEL,55758
BRIGGS,55710
HO,55533
NICHOLSON,55506
LARSEN,55235
HOUSTON,55138
MEYERS,55110
GREER,55088
DECKER,55000
BRYAN,54685
ROBERSON,54638
SUMMERS,54528
BASS,54502
BONILLA,54461
SHORT,54312
COLLIER,54282
VALENZUELA,54200
ROY,54089
UNDERWOOD,54083
CARSON,54032
MORROW,54003
WHITAKER,53950
CLAYTON,53875
ROCHA,53864
WILCOX,53767
CAREY,53736
JEFFERSON,53646
DAVENPORT,53635
VELEZ,53491
MONROE,53483
COPELAND,53472
HUFF,53338
SOSA,53289
CONLEY,53274
POOLE,53246
CHOI,52885
CAMERON,52870
MASSEY,52666
ROSARIO,52418
HOOD,52395
ACEVEDO,52393
PITTMAN,52342
BENITEZ,52211
SINGLETON,52173
ANTHONY,52156
MEZA,52047
WALL,52042
BRADFORD,51912
SKINNER,51876
COMBS,51814
RANDALL,51764
GALVAN,51675
KIRBY,51620
ATKINSON,51453
BRIDGES,51385
BOONE,51373
MATHIS,51361
WILKINSON,51341
VINCENT,51329
GATES,51298
KIRK,51067
RICHARD,51000
CHRISTIAN,50934
BRUCE,50879
VILLA,50813
ZAVALA,50789
HODGE,50700
YORK,50675
BOND,50649
FARRELL,50453
TAPIA,50410
SWEENEY,50370
ABBOTT,50148
WYATT,50142
RUBIO,50103
PHELPS,50090
ALLISON,49879
ARROYO,49828
FOLEY,49766
CORTES,49681
CHASE,49533
DICKERSON,49519
MATHEWS,49484
HEATH,49412
ONEILL,49365
ATKINS,49353
CISNEROS,49338
SHIELDS,49337
BELTRAN,49320
HORN,49305
BARRON,49096
DALTON,48924
SAVAGE,48874
CALLAHAN,48861
PONCE,48830
KANE,48826
HARRELL,48672
GLENN,48549
GUEVARA,48503
WIGGINS,48358
GARRISON,48292
BOYER,48281
CANTU,48115
HUFFMAN,48093
PHAN,48064
HANCOCK,47984
WARE,47874
RICH,47823
BRENNAN,47806
DILLON,47767
CLINE,47748
ARELLANO,47631
HENSLEY,47615
GOLDEN,47533
KOCH,47453
MCDOWELL,47414
MONTES,47397
PARRISH,47354
MARKS,47331
BARRY,47279
GRIMES,47264
CLAY,47234
VILLEGAS,47223
BAXTER,47095
PITTS,47055
BOOTH,47016
MATA,47012
WILEY,46986
LU,46937
SAWYER,46929
MELTON,46858
BERG,46800
GILMORE,46765
HUMPHREY,46668
STEPHENSON,46615
PRINCE,46551
SOLOMON,46541
DEJESUS,46493
SHARMA,46467
TANNER,46437
SNOW,46310
HOBBS,46281
DYER,46255
DAVID,45954
ONEAL,45929
MCCLAIN,45911
JOHNS,45892
MOON,45833
HUTCHINSON,45820
BEARD,45797
WALTER,45791
RUSSO,45790
HENSON,45780
MCCLURE,45586
MURILLO,45567
MOSLEY,45562
WILKERSON,45488
BEASLEY,45439
HUERTA,45314
TRUONG,45309
KEITH,45259
XIONG,45183
VO,45170
MACDONALD,45126
PRESTON,45056
VANCE,44920
DAVILA,44850
EATON,44833
ENGLISH,44777
HURST,44738
BLACKWELL,44711
PALACIOS,44626
SMALL,44613
KEMP,44426
XU,44406
STAFFORD,44382
CORDOVA,44178
CHUNG,44132
SHANNON,44030
MARIN,43997
MCCULLOUGH,43929
NOLAN,43879
SALGADO,43867
MERRITT,43857
VU,43790
STRONG,43757
WOODARD,43731
WINTERS,43495
BARAJAS,43327
KLINE,43180
CUEVAS,43163
KERR,43118
ZHENG,43117
KNOX,43026
DUARTE,42935
ODONNELL,42865
BARR,42818
ROSAS,42815
JACOBSON,42784
MEADOWS,42694
LESTER,42692
BULLOCK,42676
GAINES,42617
MCINTYRE,42592
CONWAY,42563
TANG,42548
ORR,42533
NIELSEN,42520
LEACH,42194
ROACH,42179
KENT,42163
WHITEHEAD,42089
PRUITT,42087
MCKEE,42029
BRAVO,41827
DORSEY,41699
HULL,41685
BERGER,41655
BARTLETT,41652
SLOAN,41599
MCLEAN,41538
ESPARZA,41465
MCCALL,41386
STEIN,41382
LEBLANC,41367
BROWNING,41347
CALHOUN,41347
HENDRICKS,41308
DURHAM,41287
HANNA,41220
VENTURA,41204
STOUT,41195
GENTRY,41191
BUCK,41103
MIDDLETON,41103
BLANKENSHIP,41049
MCINTOSH,40973
QUINTERO,40966
MOHAMED,40957
BRADSHAW,40813
ELLISON,40780
FROST,40771
SEXTON,40756
LOWERY,40645
LIVINGSTON,40605
SELLERS,40541
PORTILLO,40506
GILLESPIE,40456
FELIX,40449
NOBLE,40384
LIM,40278
BUCKLEY,40231
HARDIN,40223
HOUSE,40157
GLASS,40133
ENRIQUEZ,40048
SPEARS,40009
HOWE,39912
BLANCO,39888
KNAPP,39888
MEDRANO,39831
TREJO,39769
CORONA,39695
STARK,39649
REILLY,39645
MORSE,39517
BENJAMIN,39477
TAN,39432
SCHAEFER,39427
MCFARLAND,39411
WEEKS,39404
BENTLEY,39380
GILES,39371
PENNINGTON,39335
FREDERICK,39331
HAHN,39328
CHENG,39305
RANDOLPH,39297
FITZPATRICK,39241
HERMAN,39217
WALLS,39209
HEBERT,39189
ZHOU,39160
VALENTINE,39158
LUGO,39144
CROSBY,39086
MAYS,39073
PIERRE,39005
ZHAO,38974
DONOVAN,38902
HICKMAN,38795
MCMILLAN,38777
NGO,38770
CONRAD,38744
BERNAL,38729
MAHONEY,38677
LUCERO,38613
PACE,38580
DELAROSA,38542
MOSES,38468
PERALTA,38418
COSTA,38406
HURLEY,38388
MA,38387
MCMAHON,38378
ESPINOSA,38375
RAYMOND,38375
CASE,38337
MCCONNELL,38270
FRIEDMAN,38252
HARDING,38220
BENDER,38205
NAVA,38135
CORREA,38056
DO,38056
PECK,38039
BOYLE,38028
VAUGHAN,37970
LANDRY,37904
BERNARD,37873
MICHAEL,37760
EVERETT,37752
MAYER,37738
RIVERS,37733
SAMPSON,37721
PUGH,37613
BLACKBURN,37556
DUFFY,37556
KUMAR,37459
RUSH,37453
JOHN,37363
CANO,37355
AVERY,37354
MAGANA,37335
VILLALOBOS,37166
AYERS,36980
GOULD,36956
MCKAY,36937
DUNLAP,36873
SHEPARD,36770
SUN,36735
DANG,36719
FRY,36696
LYNN,36656
CLEMENTS,36649
BEST,36602
CRANE,36578
ANDERSEN,36548
BLANCHARD,36521
LEVY,36499
QUINTANA,36441
BLEVINS,36439
ASHLEY,36420
POTTS,36403
ALFARO,36351
AVALOS,36305
FARLEY,36293
FINLEY,36189
NIEVES,36188
ESQUIVEL,36172
AMAYA,36144
DOUGHERTY,36142
PARRA,36137
HOANG,36123
HAN,36028
BENTON,35994
LEAL,35970
HERRING,35941
SIERRA,35938
NIXON,35853
HAYDEN,35844
